,Doctor Name,Specialty,Overall Rating,No. of Reviews,Reviews,Review Rating
0,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"What a wonderful Doctor.  He is the BEST in Buffalo.  Compassionate, caring, knowledgeable and professional.  Since I have been seeing Dr. Cange I know I (and my family) is in excellent hands.  I wouldn’t trust anyone else!",5.00
1,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Best Doctor in Buffalo!  He is kind, caring and professional... a treasure for me and my family.",5.00
2,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Wonderful Doctor.  I am so happy I found him.  He is professional, thorough, caring and kind.  ",5.00
3,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Cangé is by far the best doctor I've had. He's thorough, kind and caring.",4.50
4,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Best Doctor in Buffalo.  We couldn’t be happier with Dr. Cangé.  Great to have a caring professional in your corner.  ,5.00
5,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Best Doctor EVER!  He is thorough, professional and caring.  He has made several house calls to visit my Mother who is unable to come to the office.  Like part of our family!😍",5.00
6,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Kind, Caring and professional Doctor.   He is as great with my 71 year old mother as he is with me and my 6 year old.  Thank you, Dr. Cangé, for being the best!",5.00
7,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Very happy with Dr. Cangé.   He is a wonderful, thorough and  professional Doctor.  I highly recommend him.",5.00
8,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I went to this dr for a second opinion. He seemed completely detached, bored and provided literally no insight I couldn't have gleaned from the internet. Waste of my copay. Would not recommend. ",1.25
9,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr. Cangé is a very professional and knowledgeable Physician.  He takes the time needed to answer my questions and listen to my concerns.  He is just as good with my 4 year old son as he is with myself and treating my 70 year old mother in law.  He is wonderful!,5.00
10,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"The best!  A professional, caring, thorough Doctor.  He has been treating members of my family for years.  We all love him.",5.00
11,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Very professional, caring and thorough.  He takes the time to really listen to me, explain my problems in detail and is just wonderful.",5.00
12,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Professional, knowledgeable, caring and takes the time to listen and explain everything.  ",5.00
13,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,So happy to have found a professional physician who listens and REALLY cares about me and my health!👍🏼👍🏼,5.00
14,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Cange has been taking care of our family for over ten years.   He is caring, professional, thorough and takes very good care of all of us.  We are very happy with Dr. Cange.",5.00
15,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Wonderful Doctor who really cares about me as a patient and a person.  Doctor Cange has been great with my kids and my 79 year old Mom.  The best!,5.00
16,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Excellent Doctor.  My family and I have been patients of his for many years.  He truly cares about his patients, spends time with them and is a truly wonderful Doctor.",5.00
17,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Wonderful Doctor.  He takes time to explain everything to me and treats me with respect.  I am so glad I have him in my corner with all my health issues.  He is very competent and caring.,5.00
18,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr. Cangé was able to finally diagnose my health problem I have been suffering with for over 15 years!  I have been to countless doctors and none were able to help.  Dr. Cangé sent me for tests, I came back a week later for diagnosis and treatment and finally have my life back.  Thank you so much!",5.00
19,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been a patient of Dr. Cange for over 10 years. He is thorough,  kind and compassionate. I completely trust him. I highly recommend him. ",5.00
20,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"I have been a patient of Dr. Cange for many years.  He is wonderfully thorough, kind and compassionate.  My entire family are now patients of his.  Wonderful
Doctor!!!!!",5.00
21,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,He listens and is helpful with answering questions.,4.50
22,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Was very thorough at the beginning of the appointment. When told him of my concerns, seemed to get argumentative. Argued that the test I was requesting would show ""symptoms"". Asked if possible if I was a carrier and some things can be asymptomatic. continued to argue then said would order the tests(clearly to appease me). Then rushed me out the door without giving me my scripts for the tests.  had to get the scripts from the secretary.  Went to get the blood work done and the requested tests weren't on it. contacted the office on Thursday, was told Dr. would call by end of day, had to call back on Tuesday. Finally got him on phone, asked why tests not on script, he cont. to argue that would show symptoms. Then said would have to come in and pay another copay to get those tests added then hung up on me. He is clearly strapped for cash, and received his doctorate from the University of Phoenix online. Will be making the switch to another doctor,and advising my brother and dad to do same.",1.75
23,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Dr. Cange is a fantastic family doctor.  I would consider him a friend.,4.50
24,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,very knowledgeable.good bedside maner. easy to talk to,5.00
25,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Very knowledgeable and helpful. Open to people who are thinking about alternative ideas rather than just traditional treatments.,5.00
26,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Excellent doctor. Very thorough, knowledgeable, genuine expert at diagnostics and takes time to listen to her patients. I feel fortunate to have found her as my general physician.",5.00
27,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Excellent!lucky to have her as my pcp!she gives enough time to her patients and listens to them thoroughly.,5.00
28,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,My diabetes was not controlled when I first saw Dr Ahmad. My A1C was really high at 11. After seeing. Dr Ahmad with close follow-up for several months play once he is now down to 7. She explains things so well and really motivates you to make life changes. Unlike other doctors I've seen before.,4.50
29,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Excellent Doctor, takes her time with patients. Highly Recommend!",5.00
30,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Was suffering from depression and extreme fatigue. Had gone to several doctors and they put me on various antidepressants. Dr. Ahmad spent over 45 mins with me listening to my concerns and asking detailed questions. She was the first physician to do a thorough workup and diagnose me with hypothyroid disorder. Ever since starting medication for this I have felt so much better. Thankyou for your genuine care.,4.25
31,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Very fortunate to have Dr. Ahmad as my provider. She listened to all of my concerns patiently. She is very young but so knowledgeable and thorough. She provides care to her patients as if they were her family members. Will go through all your labs in detail and makes sure I understand. I feel empowered about my health care as her patient. Thank you!,5.00
32,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Patient and honest.  Easy to talk to and helps see the positive rather than making you feel like you are falling apart,4.50
33,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Great Doctor.  Never felt rushed w him.  Great bedside manner.,5.00
34,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,This physician actually pointed me toward the door when I tried to ask another question.  If your that busy refer me to someone else!!,3.25
35,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Best MD ever. I would still use him if I lived in the area.,4.75
36,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Dr.Roche, is patient, understanding and helpful.He answers all questions and clears all doubts. He is approachable and obliging. He refers the patient to the right specialist when necessary.",4.50
37,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Very helpful, Professional, timely, caring, Smart, Honest,  A++++",5.00
38,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Takes his time with patients and has an excellent bedside manner. Very happy to have found this doctor.,4.67
39,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Great Family Physician.  Puts you at ease, great sense of humor, makes you feel like a friend as well as his patient. Does not rush you answering all your questions.  Highly recommend.",5.00
40,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,He has amazing bedside manner and was a wonderful support at the birth of my daughter.,5.00
41,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,Excellent doctor. He treats a patient like a close friend.,5.00
42,Dr. Bertrand P. Roche,Family Doctor / G.P.,4.52,7,"Extremely unprofessional and dangerous.
Stay healthy and keep your vital organs,
stay away from this psychopathic, killer ""doctor.""",1.00
